1 36 71
2 8 50
3 44 57
4 37 75
5 23 44
6 81 68
7 67 55
8 27 88
9 45 45
10 60 86
11 61 1
12 16 43
13 89 29
14 32 49
15 5 27
16 56 74
17 16 64
18 74 81
19 71 69
20 62 59
21 69 69
22 40 54
23 76 48
24 88 45
25 30 68
26 45 19
27 58 23
28 79 22
29 87 82
30 21 9
31 39 12
32 53 27
33 22 16
34 19 70
35 89 75
36 1 2
37 82 53
38 52 44
39 43 1
40 28 14
41 78 46
42 42 12
43 28 48
44 37 21
45 40 71
46 38 61
47 65 21
48 90 73
49 59 68
50 90 61
51 24 77
52 60 39
53 1 34
54 56 26
55 36 3
56 36 41
57 53 18
58 32 41
59 89 51
60 17 74
61 23 13
62 11 84
63 84 39
64 68 86
65 45 63
66 49 62
67 18 38
68 70 21
69 12 34
70 86 24
71 21 21
72 51 32
73 39 11
74 56 38
75 48 26
76 85 46
77 11 27
78 81 20
79 67 46
80 57 6
81 72 90
82 30 43
83 40 29
84 88 50
85 14 62
86 31 22
87 67 33
88 55 31
89 7 54
90 78 1
91 59 6
92 57 87
93 80 71
94 78 14
95 57 87
96 71 77
97 5 44
98 44 14
99 49 4
100 36 69
101 40 58
102 42 89
103 42 3
104 28 37
105 72 47
106 69 30
107 45 79
108 76 13
109 81 50
110 69 37
111 79 20
112 46 6
113 54 73
114 64 2
115 43 80
116 18 55
117 17 17
118 40 87
119 30 56
120 13 3
121 84 72
122 31 62
123 19 80
124 57 41
125 50 6
126 51 54
127 5 8
128 32 8
129 28 51
130 68 65
131 53 49
132 60 22
133 66 88
134 49 43
135 22 73
136 52 20
137 54 88
138 38 18
139 78 40
140 44 79
141 18 41
142 61 50
143 53 68
144 44 55
145 42 13
146 15 68
147 27 4
148 51 67
149 79 46
150 71 79
151 4 76
152 50 88
153 70 40
154 64 79
155 55 37
156 5 52
157 85 60
158 52 83
159 56 5
160 61 52
161 3 17
162 43 4
163 59 26
164 1 51
165 36 17
166 87 27
167 12 46
168 5 45
169 58 59
170 61 42
171 1 86
172 73 48
173 67 89
174 29 27
175 70 68
176 82 60
177 47 40
178 63 36
179 90 37
180 44 47
181 73 79
182 61 65
183 37 83
184 48 67
185 41 54
186 8 12
187 71 89
188 17 89
189 16 77
190 68 11
191 0 48
192 74 39
193 36 63
194 65 43
195 71 39
196 41 33
197 11 59
198 80 82
199 46 78
200 80 10
201 44 78
202 5 44
203 85 40
204 27 8
205 59 22
206 2 54
207 26 22
208 78 15
209 40 32
210 5 10
211 58 80
212 44 39
213 60 71
214 76 9
215 19 0
216 54 10
217 22 66
218 54 4
219 69 66
220 32 59
221 50 12
222 10 68
223 43 77
224 55 62
225 20 26
226 65 16
227 36 32
228 12 14
229 60 12
230 46 48
231 68 17
232 82 49
233 8 27
234 26 78
235 25 7
236 41 87
237 32 51
238 86 2
239 86 36
240 76 50
241 3 32
242 8 35
243 33 79
244 37 14
245 82 37
246 62 28
247 39 63
248 87 65
249 3 8
250 72 43
251 14 58
252 52 79
253 4 68
254 31 4
255 51 72
256 63 55
257 20 29
258 59 74
259 54 31
260 60 86
261 75 32
262 16 17
263 7 18
264 51 18
265 29 53
266 74 80
267 43 75
268 23 16
269 70 1
270 43 2
271 60 76
272 41 74
273 77 83
274 45 23
275 35 6
276 89 9
277 30 4
278 74 62
279 20 38
